"Longitude" "Latitude"
"332" 12.083 47.25
"333" 10.583 47.417
"334" 10.75 47.417
"335" 10.917 47.417
"336" 11.25 47.417
"337" 11.417 47.417
"338" 11.583 47.417
"339" 11.75 47.417
"340" 11.917 47.417
"341" 12.083 47.417
"342" 12.25 47.417
"343" 12.417 47.417
"344" 12.583 47.417
"345" 11.75 47.583
"346" 11.917 47.583
"347" 12.083 47.583
"348" 12.25 47.583
"349" 12.417 47.583
"350" 12.583 47.583
"351" 10.083 46.917
"352" 9.75 47.083
"353" 9.917 47.083
"354" 10.083 47.083
"355" 9.583 47.25
"356" 9.75 47.25
"357" 9.917 47.25
"358" 10.083 47.25
"359" 9.75 47.417
"360" 9.917 47.417
"361" 10.083 47.417
"362" 4.25 51.083
"363" 4.417 51.083
"364" 4.583 51.083
"365" 4.75 51.083
"366" 4.917 51.083
"367" 5.083 51.083
"368" 4.417 51.25
"369" 4.583 51.25
"370" 4.75 51.25
"371" 4.917 51.25
"372" 5.083 51.25
"373" 5.25 51.25
"374" 4.417 51.417
"375" 4.583 51.417
"376" 4.75 51.417
"377" 4.917 51.417
"378" 5.25 50.75
"379" 5.417 50.75
"380" 5.25 50.917
"381" 5.417 50.917
"382" 5.583 50.917
"383" 5.25 51.083
"384" 5.417 51.083
"385" 5.583 51.083
"386" 5.75 51.083
"387" 5.417 51.25
"388" 3.583 50.75
"389" 3.917 50.75
"390" 3.583 50.917
"391" 3.75 50.917
"392" 3.917 50.917
"393" 4.083 50.917
"394" 3.417 51.083
"395" 3.583 51.083
"396" 3.75 51.083
"397" 3.917 51.083
"398" 4.083 51.083
"399" 3.583 51.25
"400" 3.75 51.25
"401" 4.083 51.25
"402" 4.25 51.25
"403" 4.083 50.75
"404" 4.25 50.75
"405" 5.083 50.75
"406" 4.25 50.917
"407" 4.417 50.917
"408" 4.583 50.917
"409" 4.75 50.917
"410" 4.917 50.917
"411" 5.083 50.917
"412" 2.917 50.75
"413" 3.25 50.75
"414" 3.417 50.75
"415" 2.75 50.917
"416" 2.917 50.917
"417" 3.083 50.917
"418" 3.25 50.917
"419" 3.417 50.917
"420" 2.583 51.083
"421" 2.75 51.083
"422" 2.917 51.083
"423" 3.083 51.083
"424" 3.25 51.083
"425" 2.917 51.25
"426" 3.083 51.25
"427" 3.25 51.25
"428" 4.417 50.583
"429" 4.583 50.583
"430" 4.417 50.75
"431" 4.583 50.75
"432" 4.75 50.75
"433" 4.917 50.75
"434" 4.25 50.083
"435" 4.25 50.25
"436" 3.75 50.417
"437" 3.917 50.417
"438" 4.083 50.417
"439" 4.25 50.417
"440" 4.417 50.417
"441" 4.583 50.417
"442" 3.417 50.583
"443" 3.583 50.583
"444" 3.75 50.583
"445" 3.917 50.583
"446" 4.083 50.583
"447" 4.25 50.583
"448" 3.75 50.75
"449" 6.083 50.25
"450" 5.417 50.417
"451" 5.583 50.417
"452" 5.75 50.417
"453" 5.917 50.417
"454" 6.083 50.417
"455" 6.25 50.417
"456" 5.083 50.583
"457" 5.25 50.583
"458" 5.417 50.583
"459" 5.583 50.583
"460" 5.75 50.583
"461" 5.917 50.583
"462" 6.083 50.583
"463" 5.583 50.75
"464" 5.75 50.75
"465" 5.917 50.75
"466" 5.417 49.583
"467" 5.583 49.583
"468" 5.75 49.583
"469" 5.25 49.75
"470" 5.417 49.75
"471" 5.583 49.75
"472" 5.75 49.75
"473" 5.083 49.917
"474" 5.25 49.917
"475" 5.417 49.917
"476" 5.583 49.917
"477" 5.75 49.917
"478" 5.25 50.083
"479" 5.417 50.083
"480" 5.583 50.083
"481" 5.75 50.083
"482" 5.417 50.25
"483" 5.583 50.25
"484" 5.75 50.25
"485" 5.917 50.25
"486" 4.917 49.917
"487" 4.417 50.083
"488" 4.583 50.083
"489" 4.917 50.083
"490" 5.083 50.083
"491" 4.417 50.25
"492" 4.583 50.25
"493" 4.75 50.25
"494" 4.917 50.25
"495" 5.083 50.25
"496" 5.25 50.25
"497" 4.75 50.417
"498" 4.917 50.417
"499" 5.083 50.417
"500" 5.25 50.417
"501" 4.75 50.583
"502" 4.917 50.583
"503" 23.583 43.083
"504" 23.75 43.083
"505" 23.917 43.083
"506" 22.75 43.25
"507" 22.917 43.25
"508" 23.083 43.25
"509" 23.25 43.25
"510" 23.417 43.25
"511" 23.583 43.25
"512" 23.75 43.25
"513" 23.917 43.25
"514" 22.583 43.417
"515" 22.75 43.417
"516" 22.917 43.417
"517" 23.083 43.417
"518" 23.25 43.417
"519" 23.417 43.417
"520" 23.583 43.417
"521" 23.75 43.417
"522" 23.917 43.417
"523" 24.083 43.417
"524" 22.417 43.583
"525" 22.583 43.583
"526" 22.75 43.583
"527" 22.917 43.583
"528" 23.083 43.583
"529" 23.25 43.583
"530" 23.417 43.583
"531" 23.583 43.583
"532" 23.75 43.583
"533" 23.917 43.583
"534" 24.083 43.583
"535" 22.417 43.75
"536" 22.583 43.75
"537" 22.75 43.75
"538" 22.917 43.75
"539" 23.083 43.75
"540" 23.25 43.75
"541" 23.417 43.75
"542" 23.583 43.75
"543" 23.75 43.75
"544" 23.917 43.75
"545" 22.417 43.917
"546" 22.583 43.917
"547" 22.75 43.917
"548" 22.417 44.083
"549" 22.583 44.083
"550" 22.75 44.083
"551" 22.917 44.083
"552" 24.75 42.75
"553" 24.917 42.75
"554" 24.25 42.917
